0 |  x |  x |  x |   x | x |   x |   x | x | x | x | x | 2
975000 |  1 |  2 |  1 |  10 | 1 |  44 |  10 | 1 | 0 | 0 | 0 | 0
985000 |  1 |  2 |  1 |  10 | 1 |  34 |  10 | 1 | 0 | 0 | 0 | 0
995000 |  1 |  2 |  1 |  10 | 1 |  24 |  10 | 1 | 0 | 0 | 0 | 0
1005000 |  1 |  2 |  1 |  10 | 1 |  14 |  10 | 1 | 0 | 0 | 0 | 0
1015000 |  1 |  2 |  1 |  10 | 1 |   4 |  10 | 1 | 0 | 0 | 0 | 0
1025000 |  1 |  2 |  1 |  10 | 1 | 250 |  10 | 1 | 0 | 0 | 0 | 0
1035000 |  1 |  2 |  1 |  10 | 1 | 240 |  10 | 1 | 0 | 0 | 0 | 0
1045000 |  1 |  2 |  1 |  10 | 1 | 230 |  10 | 1 | 0 | 0 | 0 | 0
1055000 |  1 |  2 |  1 |  10 | 1 | 220 |  10 | 1 | 0 | 0 | 0 | 0
1065000 |  1 |  2 |  1 |  10 | 1 | 210 |  10 | 1 | 0 | 0 | 0 | 0
1075000 |  1 |  2 |  1 |  10 | 1 | 200 |  10 | 1 | 0 | 0 | 0 | 0
1085000 |  1 |  2 |  1 |  10 | 1 | 190 |  10 | 1 | 0 | 0 | 0 | 0
1095000 |  1 |  2 |  1 |  10 | 1 | 180 |  10 | 1 | 0 | 0 | 0 | 0
1100000 |  0 |  0 |  0 |   0 | 0 |   0 |   0 | 0 | 1 | 0 | 0 | 2
